output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
102,102,timestamp_inferred,1788012774174130.000,274912.265432,50,51,-1.421974,0
103,103,camera_timecode_anchor,1788012774207556.000,274916.701501,51,51,-2.487488,1
104,104,timestamp_inferred,1788012774240978.000,274920.768739,51,52,-2.487488,1
105,105,camera_timecode_anchor,1788012774274400.000,274924.835977,52,52,-1.366861,1
106,106,timestamp_inferred,1788012774307830.000,274929.083341,52,53,-1.366861,1
107,107,camera_timecode_anchor,1788012774341260.000,274933.330706,53,53,2.755882,1
108,108,timestamp_inferred,1788012774374685.500,274937.443601,53,54,2.755882,1
109,109,camera_timecode_anchor,1788012774408111.000,274941.556495,54,54,-3.695873,0
110,110,timestamp_inferred,1788012774441537.000,274945.618697,54,55,-3.695873,0
111,111,camera_timecode_anchor,1788012774474963.000,274949.680898,55,55,-2.659180,1
112,112,timestamp_inferred,1788012774508389.500,274953.675946,55,56,-2.659180,1
113,113,camera_timecode_anchor,1788012774541816.000,274957.670994,56,56,-2.741717,1
114,114,timestamp_inferred,1788012774575238.500,274961.777191,56,57,-2.741717,1
115,115,camera_timecode_anchor,1788012774608661.000,274965.883387,57,57,-0.971773,0
116,116,timestamp_inferred,1788012774642085.250,274968.622448,57,58,-0.971773,0
117,117,timestamp_inferred,1788012774675509.750,274971.361508,57,58,0.838068,1
118,118,camera_timecode_anchor,1788012774708934.000,274974.100568,58,58,0.838068,1
119,119,camera_timecode_anchor,1788012774742363.000,274982.272934,59,59,2.274449,1
120,120,timestamp_inferred,1788012774775787.750,274985.125967,59,60,2.274449,1
121,121,timestamp_inferred,1788012774809212.250,274987.979000,59,60,-1.399719,1
122,122,camera_timecode_anchor,1788012774842637.000,274990.832034,60,60,-1.399719,1
123,123,timestamp_inferred,1788012774876063.500,274994.939212,60,61,-1.399719,1
124,124,camera_timecode_anchor,1788012774909490.000,274999.046391,61,61,0.386589,1
125,125,timestamp_inferred,1788012774942915.000,275003.338098,61,62,0.386589,1
126,126,camera_timecode_anchor,1788012774976340.000,275007.629805,62,62,-3.084961,1
127,127,camera_timecode_anchor,1788012775009770.000,275015.899161,63,63,-0.840322,0
128,128,timestamp_inferred,1788012775043195.750,275018.770080,63,64,-0.840322,0
129,129,timestamp_inferred,1788012775076621.250,275021.640998,63,64,-4.067359,1
130,130,camera_timecode_anchor,1788012775110047.000,275024.511917,64,64,-4.067359,1
131,131,timestamp_inferred,1788012775143475.000,275028.345593,64,65,-4.067359,1
132,132,camera_timecode_anchor,1788012775176903.000,275032.179269,65,65,1.493910,1
